,BERT Cluster,jobSkill_x,jobSkill_y,title
27,27,"Engineering, Information Technology,Information Technology, Product Management, Engineering,Information Technology,Product Management,Legal, Human Resources, Information Technology,Information Technology, Supply Chain,Information Technology, Marketing,Project Management, Information Technology,Project Management,Marketing, Sales,Human Resources,Design,Finance,Purchasing, Supply Chain,Customer Service, Information Technology,Finance, Sales,Marketing,Legal, Consulting, Information Technology,General Business, Management, Marketing,Other,Marketing, Sales, Art/Creative,Design, Art/Creative, Information Technology,Project Management, Design",,48
28,28,"Engineering, Information Technology,Product Management, Marketing,Human Resources,Marketing, Public Relations, Writing/Editing,Management, Manufacturing,Advertising, Art/Creative, Design,Advertising, Analyst,Advertising,Business Development, Sales,Accounting/Auditing, Finance,Research, Analyst,Advertising, Marketing, Analyst,Marketing, Sales,Information Technology",,40
29,29,"Engineering, Information Technology,Other,Engineering, Information Technology, Consulting,Finance, Sales,Sales, Business Development,Project Management, Information Technology,Accounting/Auditing, Finance,Business Development, Sales,Information Technology,Management, Manufacturing,Marketing, Public Relations, Management,Management, General Business, Supply Chain,Purchasing, Supply Chain,Advertising,Human Resources,Marketing, Sales,Marketing, Sales, Purchasing,Research, Analyst, Information Technology,Customer Service, Information Technology,Sales, Business Development, Marketing,General Business, Management, Business Development,Design, Art/Creative, Information Technology,Marketing, Business Development,Management, Customer Service, Training,Other, Consulting, Strategy/Planning,Product Management, Marketing",,93
30,30,"Information Technology,Engineering, Information Technology,Information Technology, Consulting, Finance,Engineering, Finance, Information Technology,Information Technology, Product Management, Engineering,Finance, Information Technology,Research,Business Development, Engineering, Information Technology,Information Technology, Engineering,Engineering, Management, Science,Other,Customer Service, Information Technology,Product Management,Project Management, Information Technology,Information Technology, Marketing,Human Resources, Information Technology,Human Resources,Sales, Business Development,Human Resources, Analyst,Accounting/Auditing,Human Resources, Sales, Business Development,Project Management, Management, Product Management,Quality Assurance, Customer Service, Product Management,Marketing, Sales,Administrative,Education,Project Management, Consulting, Customer Service,Management, Manufacturing,Research, Analyst, Information Technology,Engineering, Consulting, Customer Service,Engineering,Customer Service,Education, Training,Business Development, Sales,Accounting/Auditing, Finance,Project Management, Finance,Finance, Sales,Consulting, Information Technology, Sales,Human Resources, Consulting,Finance,Marketing, Public Relations, Writing/Editing,Marketing,Design, Art/Creative, Information Technology,Marketing, Advertising, Project Management,Writing/Editing, Marketing, Product Management,Marketing, Information Technology, Strategy/Planning,Marketing, Advertising, Product Management,Marketing, Public Relations,Product Management, Marketing,Marketing, Sales, Business Development,Marketing, Engineering,Sales,Customer Service, Advertising, Public Relations,Design, Business Development",,175
31,31,"Marketing, Business Development, Strategy/Planning,Sales, Business Development, Finance,Advertising, Art/Creative, Marketing,Information Technology,Sales, Business Development,Supply Chain, Distribution, Manufacturing,Business Development,Other,Management, Manufacturing,Marketing, Public Relations, Writing/Editing,Legal, Strategy/Planning, Consulting,General Business,Marketing, Sales,Human Resources, Strategy/Planning,Sales, Business Development, Product Management,Sales,Business Development, Sales,Marketing,Advertising, Marketing, Product Management,Engineering,Analyst, Supply Chain,Administrative, Customer Service,Customer Service, Information Technology,Sales, Management,Analyst, Consulting, Research,Manufacturing, Product Management, Project Management,Finance,Accounting/Auditing, Analyst, Finance,Finance, Management, Other,Accounting/Auditing, Finance, Information Technology,Accounting/Auditing, Finance,Project Management, Management, Product Management,Science, Other,Business Development, Finance,Marketing, Sales, Project Management,Art/Creative, Marketing, Writing/Editing,General Business, Marketing, Other,Product Management, Engineering, Marketing,Marketing, Product Management,Business Development, Strategy/Planning, Product Management,Consulting, Strategy/Planning, Information Technology,Marketing, Project Management,Marketing, Sales, Science,Business Development, General Business, Sales,Public Relations, Marketing,Strategy/Planning, Other,Marketing, Public Relations,Marketing, Sales, Product Management,Advertising,Design, Art/Creative, Information Technology,Product Management, Marketing,Business Development, Public Relations, Marketing,Management, Marketing,Marketing, Business Development, Public Relations,Human Resources",,119
32,32,"Engineering, Information Technology,Information Technology, Engineering,Art/Creative, Design, Product Management,Finance, Administrative, Accounting/Auditing,General Business, Management, Consulting,Quality Assurance, Information Technology, Engineering,Finance, Product Management, Engineering,Art/Creative, Design, Writing/Editing,Sales, Business Development,Finance, Accounting/Auditing, Other,Marketing,Engineering,Analyst,Information Technology,Training, Human Resources,Management, Manufacturing,Finance, Sales,Customer Service,Advertising, Public Relations, Marketing,Human Resources, Consulting",,72
33,33,"Engineering, Information Technology,Information Technology,Information Technology, Analyst, Other,Engineering,Engineering, Information Technology, Consulting,General Business,Analyst, Research, Engineering,Information Technology, Engineering,Sales, Business Development,Consulting,Project Management, Information Technology,Sales,Education, Training,Marketing, Sales,Strategy/Planning,Advertising, Public Relations, Marketing,Product Management,Legal, Quality Assurance,Sales, Business Development, Other,Business Development, Sales,Product Management, Marketing,Management, Manufacturing,Customer Service, Information Technology,Finance, Sales,Finance,Customer Service,Business Development,Marketing,Marketing, Advertising, Public Relations,Marketing, Product Management, Project Management,Marketing, Business Development,Business Development, Marketing, Product Management,Marketing, Public Relations, Strategy/Planning,Marketing, Art/Creative, Strategy/Planning,Engineering, Design, Research,Design",Transaction security and virus protection software,147
34,34,"Finance, Analyst, Information Technology,Engineering, Information Technology,Project Management, Analyst, Information Technology,Finance, Sales,Design, Marketing, Information Technology,Legal,Accounting/Auditing, Strategy/Planning,Accounting/Auditing, Finance,Analyst,Research, Analyst, Information Technology,Business Development, Strategy/Planning, Analyst,Accounting/Auditing,Information Technology,Information Technology, Consulting,Project Management, Quality Assurance, Customer Service,Sales,Finance, Other,Finance, Management, Product Management,Distribution, Engineering,Sales, Business Development,Legal, Consulting,Information Technology, Project Management, Finance,Administrative,Supply Chain, Accounting/Auditing, Finance,Sales, Management,Finance, Information Technology,Strategy/Planning, Accounting/Auditing, Finance,Management, Accounting/Auditing,Finance, Consulting,Management, Strategy/Planning, Consulting,General Business,Other,Consulting,Accounting/Auditing, Finance, Management,Consulting, Information Technology, Product Management,Project Management,Finance, Accounting/Auditing, Analyst,Analyst, Finance,Education, Training,Design, Consulting, Art/Creative,Business Development, Sales,Finance,Accounting/Auditing, Finance, Other,Consulting, Product Management, Production,Marketing, Public Relations, Writing/Editing,Product Management, Marketing,Marketing, Sales,Design, Art/Creative, Information Technology,Advertising, Marketing, Art/Creative,Business Development, Marketing,Marketing, Business Development,Finance, Marketing","Negotiation,Analytical or scientific software,Audit software",137
35,35,"Management,Engineering, Information Technology,Information Technology,Finance, Sales,Engineering,Information Technology, Engineering,Engineering, Information Technology, Strategy/Planning,Sales,Product Management, Engineering, Supply Chain,Customer Service, Information Technology,Sales, Business Development,Analyst, Finance,Information Technology, Finance,Research, Analyst, Information Technology,Business Development, Sales,Finance,Other,Design, Art/Creative, Information Technology,Management, Manufacturing,Consulting, Information Technology, Marketing,Product Management, Marketing",Data mining software,106
36,36,"Engineering, Information Technology,Analyst, Information Technology, Engineering,Sales, Product Management, Customer Service,Sales, Business Development,Customer Service, Sales, Business Development,Consulting,General Business, Sales, Customer Service,Sales, Distribution, Business Development,Strategy/Planning, Consulting, Information Technology,Marketing, Sales, Advertising,Sales,Advertising, Marketing, Purchasing,Business Development, Sales,Marketing, Sales,Finance, Sales,Administrative, Customer Service,Advertising, Project Management,Information Technology,Human Resources,Management, Manufacturing,Business Development,Customer Service, Distribution,Customer Service, Information Technology,Other,Engineering,Management, Strategy/Planning, Consulting,Marketing, Public Relations, Writing/Editing,Consulting, Information Technology, Sales,Accounting/Auditing, Finance,Information Technology, Product Management, Engineering,Product Management, Marketing,Customer Service, Product Management, Sales,Writing/Editing, Marketing,Marketing,Marketing, Project Management,Advertising, Marketing, Product Management,General Business,Marketing, Analyst, Supply Chain,Writing/Editing, Project Management,Strategy/Planning, Information Technology,Purchasing, Supply Chain, Finance,Public Relations, Marketing,Marketing, Product Management,Information Technology, Marketing,Design","Customer relationship management CRM software,Sales and marketing software,Materials requirements planning logistics and supply chain software,Procurement software,Contact center software",172
