,TFIDF Cluster,jobSkill_x,jobSkill_y,title
57,59,"Project Management, Information Technology,Other,Business Development, Sales,Management, Manufacturing,Marketing,Management, General Business, Supply Chain,Marketing, Sales,Marketing, Sales, Purchasing,General Business, Management, Business Development,Marketing, Advertising, Product Management,Customer Service, Information Technology,Marketing, Advertising,Other, Consulting, Strategy/Planning",,26
58,60,"Sales, Distribution, Business Development,Customer Service, Information Technology,Sales, Business Development,Information Technology,Business Development, Sales,Business Development, Strategy/Planning, Analyst,Other,Information Technology, Sales, Consulting,Supply Chain,Sales,Engineering,Engineering, Information Technology,Marketing,Business Development, Customer Service,Purchasing, Supply Chain,Product Management, Marketing,Marketing, Sales,Management, Manufacturing,Business Development,Research, Analyst, Information Technology,Sales, Engineering, Business Development,Sales, Management,Finance, Sales,Consulting, Information Technology, Product Management,Marketing, Project Management,Marketing, Customer Service,General Business,Product Management, Engineering, Marketing,Marketing, Product Management,Sales, Engineering, Information Technology,Marketing, Sales, Science,Marketing, Sales, Product Management,Management, Marketing,Marketing, Engineering,Marketing, Sales, Project Management,Business Development, Marketing, Sales","Sales and marketing software,Contact center software",138
59,61,"Engineering, Information Technology,Product Management, Marketing,Research, Analyst, Information Technology,Marketing, Public Relations, Writing/Editing,Project Management, Information Technology,Sales, Business Development,Management, Manufacturing,Customer Service, Information Technology,Information Technology,Finance, Sales,Human Resources,Business Development, Sales,Marketing, Sales",,29
60,62,"Accounting/Auditing, Finance,Finance, Information Technology, Accounting/Auditing,Accounting/Auditing,Accounting/Auditing, Information Technology,Finance, Sales,General Business, Accounting/Auditing, Finance,Engineering, Information Technology",Tax preparation software,14
61,63,"Consulting, Accounting/Auditing, Information Technology,Engineering, Information Technology,Information Technology,Consulting, Information Technology, Other,Information Technology, Other,Finance, Information Technology, Engineering,Engineering,Information Technology, Business Development,Information Technology, Engineering,Engineering, Training,Sales, Business Development",Complex Problem Solving,31
62,64,"Information Technology,Engineering, Information Technology,Product Management, Marketing",,8
63,65,"Engineering, Information Technology,Finance, Information Technology,Other,Finance, Sales,Sales, Business Development,Management, Manufacturing,Finance,Accounting/Auditing, Finance,Analyst,Research, Analyst, Information Technology,Education, Training,Business Development, Sales,Information Technology, Marketing, Consulting",,16
64,66,"Engineering, Information Technology,Engineering, Finance, Information Technology,Information Technology, Engineering,Sales, Management, Customer Service,Information Technology,Research, Analyst, Information Technology,Project Management, Information Technology,Legal, Human Resources, Information Technology,Engineering,Human Resources,Finance,Business Development, Sales,Human Resources, Other, Information Technology,Information Technology, Marketing,Finance, Sales,Sales, Business Development, General Business,Strategy/Planning,Human Resources, Analyst,Marketing, Sales,Advertising, Public Relations, Marketing,Marketing, Business Development, Sales,Management, Manufacturing,Public Relations, Writing/Editing,Accounting/Auditing,Design, Art/Creative, Information Technology,Finance, Writing/Editing,Distribution, Engineering,Administrative, Customer Service,Sales, Business Development,Human Resources, Administrative, Project Management,Customer Service, Information Technology,Business Development,Management, Strategy/Planning, Consulting,Accounting/Auditing, Finance,Legal,Legal, Consulting,Finance, Accounting/Auditing,Finance, Information Technology,Information Technology, Accounting/Auditing,Marketing, Public Relations, Writing/Editing,Other,Education, Training,Marketing, Writing/Editing,Design, Consulting, Art/Creative,Training, Education, Human Resources,Information Technology, Finance, Marketing,Marketing,General Business, Management, Marketing,Consulting, Information Technology, Marketing,Advertising, Writing/Editing, Art/Creative,Advertising, Marketing,Advertising, Other,Information Technology, Marketing, Public Relations,Advertising, Design, Marketing,Marketing, Advertising, General Business,Advertising, Art/Creative, Marketing,Business Development, Marketing,Engineering, Project Management, Manufacturing",,164
65,67,"Sales, Business Development,Business Development,Research, Analyst, Information Technology,Analyst, Information Technology, Sales,Marketing, Sales",,7
66,68,"Information Technology, Engineering,Strategy/Planning, Analyst, Consulting,Art/Creative, Design, Marketing,Sales, Business Development, Distribution,Finance, Analyst, Accounting/Auditing",,6
